Text,Start Location,End Location,Is Quote,Speaker,Context,Entity Name
"“Oh,",19993,20010,True,654:A young Spotted Owl.?,"rescue’s coming in with two more little ones. Nest decimation.” Another Short- eared Owl flew by with a wad of something fluffy in her talons.“Oh, no! Poor little things.”“Nest decimation. What’s that?” Soren asked.“Accidental destruction of nests.” A young Spotted Owl flew up as they landed on a branch midway up the tree.“Otulissa, thank goodness. Can you show these new arrivals to that hollow we cleaned out yesterday?”“Certainly, Matron.”“And see if Cook has any tea or cakes left over. They look half starved.”“Certainly.” The Spotted Owl named Otulissa showed them to their hollow.“What is going on here?” Twilight asked her.“Oh, there’ve been some skirmishes up in the borderlands, nothing too serious.”“Is it St. Aggie’s?” Soren asked.“We know all about St. Aggie’s. Gylfie and I escaped.” Otulissa blinked.“And we killed their top two lieutenants when they came after Digger here. So we’re ready to fight,” Twilight added. The Spotted Owl blinked again.“I mean, we’re in the right place, aren’t we? The Great Ga’Hoole Tree?” Twilight had stepped closer to the owl to ask his question.“Where each night the order of knightly owls rises to perform noble deeds,” Soren offered in a softer voice. An uncertain feeling that was not quite a doubt, yet not a real belief, began to stir in Soren’s gizzard.“This is the place?” his voice",A young Spotted Owl
"that is,",188824,188844,True,5371:somebody.?,"gotten down to the forest? D’you reckon he could’ve beaten you and Dumbledore there?”“Not unless he can turn himself into a bat or something,” said Harry.“Wouldn’t put it past him,” Ron muttered.“We need to see Professor Moody,” said Hermione.“We need to find out whether he found Mr. Crouch.”“If he had the Marauder’s Map on him, it would’ve been easy,” said Harry.“Unless Crouch was already outside the grounds,” said Ron,“because it only shows up to the boundaries, doesn’t—”“Shh!” said Hermione suddenly. Somebody was climbing the steps up to the Owlery. Harry could hear two voices arguing, coming closer and closer.“— that’s blackmail, that is, we could get into a lot of trouble for that—”“— we’ve tried being polite; it’s time to play dirty, like him. He wouldn’t like the Ministry of Magic knowing what he did—”“I’m telling you, if you put that in writing, it’s blackmail!”“Yeah, and you won’t be complaining if we get a nice fat payoff, will you?” The Owlery door banged open. Fred and George came over the threshold, then froze at the sight of Harry, Ron, and Hermione.“What’re you doing here?” Ron and Fred said at the same time.“Sending a letter,” said Harry and George in unison.“What, at this time?” said Hermione and Fred. Fred grinned.“Fine— we won’t",somebody
"plump rats,",5362,5434,True,142:Swatums.?,"“there is nothing simple. It’s just that it has been said that the Great Ga’Hoole Tree is invisible. That it grows on the island in the middle of a vast sea, a sea called Hoolemere that is nearly as wide as an ocean. A sea that is always wrapped in fog, an island feathered in blizzards, and a tree veiled in mist.”“So,” said Twilight,“it’s not really invisible, it’s just bad weather.”“Not exactly,” replied Swatums. Twilight cocked his head.“It seems that for some the fog lifts, the blizzards stop, and the mist blows away.”“For some?” asked Gylfie.“For those who believe.” Swatums paused and then sniffed in disdain.“But do they say what? Believe in what? No. You see, that is the problem. Owls with fancy ideas— ridiculous! That’s how you get into trouble. Sweetums and I don’t believe in fancy ideas. Fancy ideas don’t keep the belly full and the gizzard grinding. Sugar gliders, plump rats, voles— that’s what counts.” Sweetums nodded and Swatums went over and began preening her for the millionth time that day. Soren knew in that moment that even if he were starving to death, he would still find Sweetums and Swatums the most boring owls on Earth. That late afternoon as they nestled in the hollow, waiting for First Black, Gylfie stirred sleepily.“You awake, Soren?”“Yeah. I can’t wait to get to Hoolemere.”“Me, neither. But I was wondering,” Gylfie said.“Wondering what?”“Do you think that Streak and Zan love each other as much as Sweetums and Swatums?” Streak and Zan were two Bald Eagles who had helped them in the desert when Digger had been attacked by the lieutenants from St. Aggie’s— the very",Swatums
"“Had there been any sign from you,",216472,216502,True,289:Lucius Malfoy.?,"place in the circle, staring at his powerful new hand, his face still shining with tears. Voldemort now approached the man on Wormtail’s right.“Lucius, my slippery friend,” he whispered, halting before him.“I am told that you have not renounced the old ways, though to the world you present a respectable face. You are still ready to take the lead in a spot of Muggle- torture, I believe? Yet you never tried to find me, Lucius.… Your exploits at the Quidditch World Cup were fun, I daresay… but might not your energies have been better directed toward finding and aiding your master?”“My Lord, I was constantly on the alert,” came Lucius Malfoy’s voice swiftly from beneath the hood.“Had there been any sign from you, any whisper of your whereabouts, I would have been at your side immediately, nothing could have prevented me—”“And yet you ran from my Mark, when a faithful Death Eater sent it into the sky last summer?” said Voldemort lazily, and Mr. Malfoy stopped talking abruptly.“Yes, I know all about that, Lucius.… You have disappointed me.… I expect more faithful service in the future.”“Of course, my Lord, of course.… You are merciful, thank you.…” Voldemort moved on, and stopped, staring at the space— large enough for two people— that separated Malfoy and the next man.“The Lestranges should stand here,” said Voldemort quietly.“But they are entombed in Azkaban. They were faithful. They went to Azkaban rather than renounce me.… When Azkaban is broken open, the Lestranges",Lucius Malfoy
"“… Muggle neighbors heard bangs and shouting,",52629,52664,True,239:Amos Diggory.?,", looking harassed.“Arthur!” she called up the staircase.“Arthur! Urgent message from the Ministry!” Harry flattened himself against the wall as Mr. Weasley came clattering past with his robes on back- to- front and hurtled out of sight. When Harry and the others entered the kitchen, they saw Mrs. Weasley rummaging anxiously in the drawers—“I’ve got a quill here somewhere!”— and Mr. Weasley bending over the fire, talking to— Harry shut his eyes hard and opened them again to make sure that they were working properly. Amos Diggory’s head was sitting in the middle of the flames like a large, bearded egg. It was talking very fast, completely unperturbed by the sparks flying around it and the flames licking its ears.“… Muggle neighbors heard bangs and shouting, so they went and called those what- d’you- call-’ems— please- men. Arthur, you’ve got to get over there—”“Here!” said Mrs. Weasley breathlessly, pushing a piece of parchment, a bottle of ink, and a crumpled quill into Mr. Weasley’s hands.“— it’s a real stroke of luck I heard about it,” said Mr. Diggory’s head.“I had to come into the office early to send a couple of owls, and I found the Improper Use of Magic lot all setting off— if Rita Skeeter gets hold of this one, Arthur—”“What does Mad- Eye say happened?” asked Mr. Weasley, unscrewing the ink bottle, loading up his quill, and preparing to take notes. Mr. Diggory’s head rolled its eyes.“Says he heard an intruder in his yard. Says he was creeping toward the house, but was",Amos Diggory
but you caught it!,52871,52940,True,209:Martin.?,". It was as if every single one of his hollow bones, every feather shaft brimmed with this feeling of transcendent power. Joy filled him, a joy such as he had never felt since perhaps the first time he had ever flown. But how he got this coal was still a mystery to him. He flew back to the ridge where the buckets were. Martin was beside him.“You were spectacular, Soren. I was so nervous when I saw that crown fire break and then when we saw you getting sucked up, I nearly went yeep.”“But what happened?” Soren asked. They were to stay on the ridge until the rest of the chaw returned.“You mean to tell me you don’t know?”“Not exactly.”“You did a reverse loop to escape the pull and as you were coming out of it this coal flew by. Bubo said he never saw a coal of that size go up so high, but you caught it! Caught it on the loop, Soren. I mean it was better flying than anything Ruby has ever done. It was absolutely spectacular.”“Great Glaux, I wish I’d seen it,” Soren said. Martin hooted loudly.“You did it, Soren! You did it!” Otulissa flew in next with Ruby and Poot. She had a full beak and dumped the coals into the bucket.“I got one! I got one!” And then she stopped and looked up, genuinely modest now.“But, Soren, it is nothing compared to what you did.”“Well, thank you, Otulissa… er… uh… That is very kind of you.” Otulissa bobbed her head and actually said nothing for once. Martin blinked at Soren as if to say,“I wonder how long that will last?” Soren looked about for Ezylryb. He wondered if Ezyl",Martin
as I proved when I questioned her.,4117,4164,True,756:the second man.?,"’s voice suddenly sounded hoarse, as though his mouth had gone very dry.“You… are going… to kill me too?”“Wormtail, Wormtail,” said the cold voice silkily,“why would I kill you? I killed Bertha because I had to. She was fit for nothing after my questioning, quite useless. In any case, awkward questions would have been asked if she had gone back to the Ministry with the news that she had met you on her holidays. Wizards who are supposed to be dead would do well not to run into Ministry of Magic witches at wayside inns.…” Wormtail muttered something so quietly that Frank could not hear it, but it made the second man laugh— an entirely mirthless laugh, cold as his speech.“We could have modified her memory? But Memory Charms can be broken by a powerful wizard, as I proved when I questioned her. It would be an insult to her memory not to use the information I extracted from her, Wormtail.” Out in the corridor, Frank suddenly became aware that the hand gripping his walking stick was slippery with sweat. The man with the cold voice had killed a woman. He was talking about it without any kind of remorse— with amusement. He was dangerous— a madman. And he was planning more murders— this boy, Harry Potter, whoever he was— was in danger— Frank knew what he must do. Now, if ever, was the time to go to the police. He would creep out of the house and head straight for the telephone box in the village… but the cold voice was speaking again, and Frank remained where he was, frozen to the spot, listening with all his might.“One more murder… my faithful servant at Hogwarts…",the second man
forgive me!,215878,215888,True,4630:One of the men.M,"against mortal death? They, who had seen proofs of the immensity of my power in the times when I was mightier than any wizard living?“And I answer myself, perhaps they believed a still greater power could exist, one that could vanquish even Lord Voldemort… perhaps they now pay allegiance to another… perhaps that champion of commoners, of Mudbloods and Muggles, Albus Dumbledore?” At the mention of Dumbledore’s name, the members of the circle stirred, and some muttered and shook their heads. Voldemort ignored them.“It is a disappointment to me… I confess myself disappointed.…” One of the men suddenly flung himself forward, breaking the circle. Trembling from head to foot, he collapsed at Voldemort’s feet.“Master!” he shrieked,“Master, forgive me! Forgive us all!” Voldemort began to laugh. He raised his wand.“Crucio!” The Death Eater on the ground writhed and shrieked; Harry was sure the sound must carry to the houses around.… Let the police come, he thought desperately… anyone… anything… Voldemort raised his wand. The tortured Death Eater lay flat upon the ground, gasping.“Get up, Avery,” said Voldemort softly.“Stand up. You ask for forgiveness? I do not forgive. I do not forget. Thirteen long years… I want thirteen years’ repayment before I forgive you. Wormtail here has paid some of his debt already, have you not, Wormtail?” He looked down at Wormtail, who continued to sob.“You returned to me, not out of loyalty",One of the men
"“Okay,”",131500,131503,True,268:Cho.F,"; he was too busy screwing up his courage for what he was about to do. When the bell rang, he grabbed his bag, and hurried to the dungeon door.“I’ll meet you at dinner,” he said to Ron and Hermione, and he dashed off upstairs. He’d just have to ask Cho for a private word, that was all.… He hurried off through the packed corridors looking for her, and(rather sooner than he had expected) he found her, emerging from a Defense Against the Dark Arts lesson.“Er— Cho? Could I have a word with you?” Giggling should be made illegal, Harry thought furiously, as all the girls around Cho started doing it. She didn’t, though. She said,“Okay,” and followed him out of earshot of her classmates. Harry turned to look at her and his stomach gave a weird lurch as though he had missed a step going downstairs.“Er,” he said. He couldn’t ask her. He couldn’t. But he had to. Cho stood there looking puzzled, watching him. The words came out before Harry had quite got his tongue around them.“Wangoballwime?”“Sorry?” said Cho.“D’you— d’you want to go to the ball with me?” said Harry. Why did he have to go red now? Why?“Oh!” said Cho, and she went red too.“Oh Harry, I’m really sorry,” and she truly looked it.“I’ve already",Cho
“Never!”,737,740,True,658:several people.?,"pretending to feel very sad about the Riddles, for they had been most unpopular. Elderly Mr. and Mrs. Riddle had been rich, snobbish, and rude, and their grown- up son, Tom, had been, if anything, worse. All the villagers cared about was the identity of their murderer— for plainly, three apparently healthy people did not all drop dead of natural causes on the same night. The Hanged Man, the village pub, did a roaring trade that night; the whole village seemed to have turned out to discuss the murders. They were rewarded for leaving their firesides when the Riddles’ cook arrived dramatically in their midst and announced to the suddenly silent pub that a man called Frank Bryce had just been arrested.“Frank!” cried several people.“Never!” Frank Bryce was the Riddles’ gardener. He lived alone in a rundown cottage on the grounds of the Riddle House. Frank had come back from the war with a very stiff leg and a great dislike of crowds and loud noises, and had been working for the Riddles ever since. There was a rush to buy the cook drinks and hear more details.“Always thought he was odd,” she told the eagerly listening villagers, after her fourth sherry.“Unfriendly, like. I’m sure if I’ve offered him a cuppa once, I’ve offered it a hundred times. Never wanted to mix, he didn’t.”“Ah, now,” said a woman at the bar,“he had a hard war, Frank. He likes the quiet",several people
